lc,quantity,serving_size,packaging_tags,brands_tags,categories_tags,labels_tags,countries_tags,stores_tags,allergens_tags,traces_tags,nutrition_data_per,nutrition_data_prepared_per,energy-kj_value,energy-kcal_value,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,fiber_value,fiber_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,vitamin-d_value,vitamin-d_unit,calcium_value,calcium_unit,iron_value,iron_unit,packaging_1_shape,packaging_1_material,packaging_2_shape,packaging_2_material,link,off:food_groups,off:food_groups_tags,off:nova_groups,off:nova_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_grade,off:ecoscore_score,off:ecoscore_data.missing_key_data,off:ecoscore_data.agribalyse.code,off:ecoscore_data.adjustments.origins_of_ingredients.value,off:ecoscore_data.adjustments.packaging.value,off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials,off:ecoscore_data.adjustments.production_system.value,off:ecoscore_data.adjustments.threatened_species.value,data_sources,product_name,ingredients
es,360 ,60 g,,"nesquik,nestle","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:chocolate-desserts","en:calcium-source,en:vitamin-d-source","en:portugal,en:spain",mercadona,"en:milk,es:nata",,100g,100g,781.0,186.0,7.2,g,4.7,g,25.5,g,20.4,g,0.5,g,4.4,g,0.54,g,0.216,g,781.0,kJ,1.25,µg,201.0,mg,,,,,,,https://www.yoguresnestle.es/nesquik/nesquik-petit,en:dairy-desserts,"en:milk-and-dairy-products,en:dairy-desserts",4.0,en:4-ultra-processed-food-and-drink-products,d,12.0,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps, App - Open Food Facts, App - InFood",Petit,"_Leche_ (61,8%), azúcar, _nata_, _leche_ desnatada en polvo, almidón modificado de maíz, jarabe de glucosa deshidratado, cacao desgrasado en polvo (1,5%), canela, concentrado de sales minerales lácteas, corrector de acidez (citrato de sodio), vitamina D."
es,370 ,30 g,,nestle,en:baby-foods,,en:spain,,"en:gluten,en:milk,en:soybeans",,serving,100g,545.0,129.0,3.3,g,1.5,g,21.3,g,8.0,g,0.48,g,3.6,g,0.1125,mg,45.0,mg,545.0,kJ,,,,,,,,,,,,,,4.0,en:4-ultra-processed-food-and-drink-products,not-applicable,,unknown,,1.0,,-5,-15,1,0,,"App - elcoco, Apps, App - El CoCo, App - Yuka",Cerelac,"Harina de trigo, leche entera de vaca en polvo (30%), azúcar, concentrado de proteina láctea, aceite de soya, lecitina de soya, carbonato de calcio, fosfato de potasio, saborizante natural de vanilla vitamina Cacido ascorbica magnesio, hiema, zinc, niacina (nicotinamida), colorante natural de annato, vitamina E (acetato de a-tocoferoll cobre, vitamina 86 (piridodina, vitamina A painitato de refin vitamina B1 aminal, acido folico, vitamina D (colecalciferol), vitamina B12 (cianocobalamina). CONTIENE LECHE Y GLUTEN. La lactancia matema debe continuar por el mayor tiempo posible después de la introducción de alimentos complementarios Conserve el ambiente. Deposite el envase vacio en la basura."
en,150 ,150g,en:plastic,nestle,"en:desserts,en:puddings",en:no-added-sugar,"en:france,en:portugal,en:spain",,"en:milk,en:lactic,en:lactic",,serving,100g,458.0,110.0,0.3,g,0.2,g,10.8,g,6.9,g,0.5,g,15.0,g,0.18,g,0.072,g,458.0,kJ,,,,,,,,en:plastic,,,,en:dairy-desserts,"en:milk-and-dairy-products,en:dairy-desserts",4.0,en:4-ultra-processed-food-and-drink-products,a,-4.0,unknown,,,,-5,-10,1,0,,"App - yuka, Apps, App - Open Food Facts, App - Waistline",Lindahls pro+pudding,"Thin _milk_ 87.9%, _lactic_ proteins, modified corn starch, stabilizer (pectin), flavor, dye (carotene), sweetener (acessulfame K, sucralose)"
fr,375 ,30 g,"en:plastic,en:bag,en:box,en:cardboard","cookie-crisp,nestle","en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:chocolate-cereals,en:extruded-cereals","en:no-artificial-flavors,en:no-preservatives,en:green-dot,en:made-in-france,en:no-colorings,en:no-palm-oil,en:nutriscore,en:nutriscore-grade-b,en:rainforest-alliance,fr:ble-francais,fr:triman","en:belgium,en:france,en:portugal,en:reunion,en:spain,en:switzerland","intermarche,e-leclerc,g20","en:gluten,en:peanuts","en:milk,en:nuts,en:peanuts",100g,100g,1659.0,395.0,5.2,g,0.9,g,78.0,g,22.4,g,6.0,g,6.7,g,0.66,g,0.264,g,1659.0,kJ,2.8e-06,g,0.75,g,0.0079,g,en:box,en:cardboard,en:bag,en:plastic,,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",4.0,en:4-ultra-processed-food-and-drink-products,b,1.0,c,42.0,,32135.0,-2,-11,1,10,,"Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, Producers, Producer - nestle-france, Database - Equadis, Database - GDSN, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts",Cookie Crisp,"Harina integral de _trigo_ (35,2%), sémola de maíz (28,4%), azúcar, jarabe de glucosa, almidón de trigo, aceite de palma, carbonato cálcico, cacao desgrasado en polvo (1,7%), harina de _trigo_ (1,5%), sal, gasificante (bicarbonato de sodio), aroma natural, antioxidante (extracto rico en tocoferoles), hierro, niacina, ácido pantoténico, vitamina D, ácido fólico, vitamina B6, riboflavina."
fr,150 ,25 g,"en:plastic,en:box,en:cardboard,fr:boite-carton,fr:sachet-plastique","nesquik,nestle","en:snacks,en:sweet-snacks,en:bars,en:cereal-bars","en:source-of-fibre,en:nutriscore,en:rainforest-alliance,fr:triman,fr:ecoponto-amarelo,fr:ecoponto-azul,fr:nutri-score-grau-c,fr:ponto-verde,fr:sem-cores-artificiais,fr:sem-sabores-artificiais","en:belgium,en:france,en:portugal,en:spain,en:switzerland",e-leclerc,"en:gluten,en:milk",en:nuts,100g,100g,1662.0,395.0,11.5,g,5.0,g,66.6,g,21.8,g,5.2,g,6.6,g,0.42,g,0.168,g,1662.0,kJ,5.0,µg,1360.0,mg,10.0,mg,en:bag,en:plastic,en:box,en:cardboard,,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",4.0,en:4-ultra-processed-food-and-drink-products,c,8.0,unknown,,,,-5,-11,1,10,,"App - yuka, Apps, Producers, Producer - nestle-france, Database - Equadis, Database - GDSN, Databases, App - Open Food Facts, App - smoothie-openfoodfacts",Nesquik,"Harina integral de trigo (33,4%), jarabe de glucosa, azúcar, leche condensada (8,4%) (leche, azúcar), humectantes (glicerina, jarabe de sorbitol), aceite de girasol, leche desnatada en polvo (5,7%), grasa de coco, carbonato cálcico, jarabe de azúcar invertido, sémola de maíz (2,2%), maltodextrina, harina de arroz (2,0%), cacao en polvo (1,6%), cacao desgrasado en polvo (0,9%), manteca de cacao, sal, emulgente (lecitina de girasol), aroma natural, antioxidante (extracto rico en tocoferoles), hierro, niacina, ácido pantoténico, ácido fólico, vitamina B6, riboflavina."
en,40 ,40 g,"en:plastic,en:pp-polypropylene,de:film-polypropylen,de:green-dot,de:tidyman-wastebasket","nestle,kit-kat","en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:bars,en:biscuits-and-cakes,en:chocolate-candies,en:biscuits,en:bars-covered-with-chocolate,en:chocolate-biscuity-bars,fr:barre-chocolatee-biscuitee-type-kitkat","en:vegetarian,en:sustainable-farming,en:green-dot,en:nestle-cocoa-plan,en:nutriscore,en:nutriscore-grade-e,en:rainforest-alliance,en:utz-certified","en:austria,en:france,en:germany,en:netherlands,en:spain,en:switzerland","lidl,franprix","en:gluten,en:milk","en:nuts,en:peanuts",100g,100g,2158.0,526.0,27.0,g,15.2,g,58.8,g,46.7,g,2.4,g,7.8,g,0.22,g,0.088,g,2158.0,kJ,,,,,,,en:film,en:pp-5-polypropylene,,,https://www.kitkat.fr/produits/chunky-chocolat-au-lait,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",4.0,en:4-ultra-processed-food-and-drink-products,e,24.0,c,57.0,,31000.0,-5,-1,0,20,-10.0,"Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - InFood, App - smoothie-openfoodfacts",KitKat Chunky,"Gaufrette enrobée de chocolat au lait (68,5%). Contient: BLÉ, LAIT. Peut contenir: ARACHIDES, FRUITS À COQUE."
es,125 ,21 g,,"jungly,nestle","en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:milk-chocolates","en:green-dot,en:nutriscore,en:nutriscore-grade-e,en:rainforest-alliance,en:rainforest-alliance-cocoa,es:recicla-amarillo,es:recicla-azul","en:portugal,en:spain",,"en:gluten,en:milk",en:nuts,100g,100g,2218.0,531.0,28.9,g,16.2,g,60.2,g,52.6,g,1.8,g,6.5,g,0.18,g,0.072,g,2218.0,kJ,,,,,,,,,,,,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",4.0,en:4-ultra-processed-food-and-drink-products,e,25.0,e,19.0,1.0,31004.0,-5,-15,1,10,-10.0,"App - yuka, Apps, App - El CoCo, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts",Chocolate con Leche y galleta,"Azúcar, manteca de cacao, _leche_, galleta (13%) [harina de _trigo_, grasa de palma, azúcar, jarabe de glucosa, gasificantes (carbonatos de sodio y de amonio), sal, aroma], cacao, suero de _leche_ en polvo, emulgente (lecitina de girasol), aroma natural de vainilla."
es,100,,"en:metal,en:paper,en:recyclable-metals,en:aluminium",nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:white-chocolates","en:sustainable-farming,en:utz-certified,en:utz-certified-cocoa",en:spain,"carrefour,dia,lidl",en:milk,"en:gluten,en:nuts",100g,100g,2284.0,547.0,31.6,g,20.0,g,57.8,g,57.2,g,0.0,g,7.3,g,0.29,g,0.116,g,2284.0,kJ,,,284.0,mg,,,,en:aluminium,,en:paper,,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",4.0,en:4-ultra-processed-food-and-drink-products,e,27.0,c,41.0,,31010.0,-5,-4,0,10,,"App - yuka, Apps, App - Open Food Facts, App - InFood",Milkybar,"Azúcar, leche en polvo (26%), manteca de cacao, suero de leche en polvo, emulgente lecitina de girasol, aroma natural de vainilla, Puede contener gluten y frutos secas,"
es,90 ,,,nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:milk-chocolates,en:flavoured-chocolates,en:flavoured-milk-chocolates,en:milk-chocolate-bar","es:exceso-en-azucares,es:exceso-en-calorias,es:exceso-en-grasas-saturadas,es:exceso-en-grasas-totales","en:argentina,en:bolivia,en:spain",,"en:milk,en:peanuts","en:gluten,en:nuts",100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,en:bag,en:plastic,,,https://www.nestle.com.ar/,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",4.0,en:4-ultra-processed-food-and-drink-products,d,14.0,d,26.0,,31004.0,-3,-10,1,0,,,Maní,"Azúcar, maní, manteca de cacao, leche entera en polvo, masa de cacao, grasa vegetal equivalente a la manteca de cacao, leche descremada en polvo, aromatizante, emulsionantes (lecitina de girasol, INS 442, INS 476)."
fr,375 ,30g,"fr:conteneur,en:container,fr:boite-en-carton,fr:etui-en-carton,fr:film-en-plastique,fr:sachet-en-plastique","nestle,nesquik-bio,nesquik","en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:chocolate-cereals,en:extruded-cereals","en:organic,en:eu-organic,en:no-preservatives,en:non-eu-agriculture,en:eu-agriculture,en:eu-non-eu-agriculture,en:fr-bio-01,en:green-dot,en:made-in-france,en:no-colorings,en:no-palm-oil,en:nutriscore,en:nutriscore-grade-a,en:nutriscore-grade-b,en:rainforest-alliance,fr:ab-agriculture-biologique,fr:triman","en:belgium,en:france,en:morocco,en:reunion,en:spain,en:switzerland",coccinelle,en:gluten,"en:milk,en:nuts,en:peanuts",100g,100g,1582.0,374.0,2.1,g,0.7,g,75.2,g,22.3,g,8.7,g,9.1,g,0.45,g,0.18,g,1582.0,kJ,,,,,,,en:bag,en:plastic,en:box,en:cardboard,https://www.nestle-cereals.com/fr/fr/brands/products/nesquikr-bio,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",4.0,en:4-ultra-processed-food-and-drink-products,a,-1.0,c,47.0,,32135.0,-5,-13,1,20,,"App - yuka, Apps, Producers, Producer - nestle-france, Database - Equadis, Database - GDSN, Databases, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts",NESTLE NESQUIK BIO Céréales 375g,"50,5% Vollkornweizenmehl*, Zucker*, Maisgrieß“, Glukosesirup*, 3,9% fettarmes Kakaopulver*, 1,7% Kakaopulver*, Salz, Aroma. *Zutaten aus biologischem Anbau. Kann Milch, Erdnüsse und Nüsse enthalten."
